"","workerid","item","slide_number","condition","language","pref1","response1","pref2","response2","pref3","response3","pref4","response4","pref5","response5","pref6","response6","pref7","response7","pref8","response8","pref9","response9","obj1","obj2","obj3","ambiguous","numFeatures"
"322","21","2063","9","321111","English","striped","1","green","1","circle","1","solid","0","red","1","blue","1","polka-dotted","1",NA,NA,NA,NA,"213","221","232","True","7"
"323","21","1453","10","123211","English","square","1","solid","1","circle","0","blue","0","polka-dotted","1","striped","1",NA,NA,NA,NA,NA,NA,"331","211","221","True","6"
"324","21","1002","11","212212","English","green","1","square","0.05","polka-dotted","0","cloud","0.95","striped","1","red","0",NA,NA,NA,NA,NA,NA,"322","333","132","True","6"
"325","21","2193","12","121111","English","square","1","polka-dotted","1","green","1","cloud","1","striped","1","solid","1","circle","1","red","0",NA,NA,"223","312","132","True","8"
"326","21","1679","13","121212","English","solid","1","polka-dotted","0","red","1","square","1","green","0","circle","0",NA,NA,NA,NA,NA,NA,"312","233","233","False","6"
"327","21","1858","14","123212","English","green","1","square","1","striped","0","cloud","0","blue","0",NA,NA,NA,NA,NA,NA,NA,NA,"323","121","121","True","5"
"328","21","668","15","212211","English","striped","1","solid","1","polka-dotted","1","blue","0","square","0","cloud","1","green","0.95",NA,NA,NA,NA,"311","131","323","True","7"
"329","21","404","16","321112","English","circle","1","red","1","square","0.9","striped","0","cloud","1","blue","0",NA,NA,NA,NA,NA,NA,"322","221","121","True","6"
"330","21","1953","17","323232","English","striped","0","square","0","green","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"323","323","323","False","3"
"346","23","912","3","212121","English","cloud","1","blue","1","polka-dotted","1","square","0.95","green","0.8","striped","0.95",NA,NA,NA,NA,NA,NA,"121","121","333","False","6"
"347","23","823","4","112111","English","cloud","1","green","0.9","blue","0.95","striped","1","solid","0.95","square","1","polka-dotted","1","circle","1",NA,NA,"311","221","133","True","8"
"348","23","2015","5","322122","English","solid","1","green","1","blue","1","square","1","striped","1",NA,NA,NA,NA,NA,NA,NA,NA,"323","321","313","True","5"
"349","23","1204","6","112112","English","cloud","1","blue","1","red","1","solid","1","circle","1","polka-dotted","1","striped","1",NA,NA,NA,NA,"112","121","231","True","7"
"350","23","906","7","212121","English","solid","1","blue","1","striped","1","circle","1","square","1","red","1",NA,NA,NA,NA,NA,NA,"312","312","221","False","6"
"351","23","1952","8","323232","English","blue","0.9","polka-dotted","1","cloud","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"131","131","131","False","3"
"352","23","1059","9","113212","English","cloud","0.95","circle","0.95","red","0.85","solid","0.85","striped","1","square","0.8",NA,NA,NA,NA,NA,NA,"212","322","122","True","6"
"353","23","682","10","212211","English","blue","1","solid","0.85","green","0.9","cloud","1","striped","1","polka-dotted","1","circle","1",NA,NA,NA,NA,"223","133","211","True","7"
"354","23","1934","11","111212","English","polka-dotted","1","solid","1","blue","1","red","0.95","cloud","1","striped","1","circle","1",NA,NA,NA,NA,"221","112","132","True","7"
"355","23","1994","12","323232","English","circle","1","striped","1","red","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"222","222","222","False","3"
"356","23","453","13","211111","English","circle","1","square","1","blue","1","red","1","solid","1","cloud","1","striped","1","polka-dotted","1",NA,NA,"112","332","221","True","8"
"357","23","648","14","112121","English","square","0.7","polka-dotted","0.7","red","0.7","solid","0.85","cloud","0.95","green","0.55","blue","0.9",NA,NA,NA,NA,"333","332","111","True","7"
"358","23","1991","15","323232","English","red","0.9","circle","1","polka-dotted","0.95",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"232","232","232","False","3"
"359","23","1512","16","322112","English","polka-dotted","1","red","1","green","1","striped","1","cloud","1",NA,NA,NA,NA,NA,NA,NA,NA,"122","123","133","True","5"
"360","23","2252","17","213232","English","circle","1","striped","1","green","1","red","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"223","223","222","True","4"
"361","24","1415","3","322111","English","square","1","solid","1","polka-dotted","0","red","1","circle","0","cloud","0",NA,NA,NA,NA,NA,NA,"112","312","232","True","6"
"362","24","1448","4","322111","English","green","0","cloud","0","striped","1","blue","1","solid","1","polka-dotted","1",NA,NA,NA,NA,NA,NA,"123","113","131","True","6"
"363","24","1968","5","323232","English","green","1","striped","1","square","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"323","323","323","False","3"
"364","24","2253","6","213232","English","polka-dotted","0","square","1","circle","1","green","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"233","233","333","True","4"
"365","24","1253","7","111111","English","red","1","green","1","square","0","cloud","0","blue","1","polka-dotted","0","striped","0","circle","0","solid","0","322","211","133","False","9"
"366","24","1919","8","111212","English","blue","1","circle","0","red","1","solid","0","cloud","0","green","1","polka-dotted","0",NA,NA,NA,NA,"113","231","232","True","7"
"367","24","1157","9","212232","English","cloud","0","striped","1","red","0","blue","1","solid","0",NA,NA,NA,NA,NA,NA,NA,NA,"112","122","111","True","5"
"368","24","355","10","122132","English","cloud","0","square","1","striped","0","blue","1","green","0",NA,NA,NA,NA,NA,NA,NA,NA,"121","123","323","True","5"
"369","24","1461","11","123211","English","polka-dotted","1","circle","1","solid","0","square","0","cloud","1","green","0",NA,NA,NA,NA,NA,NA,"333","213","113","True","6"
"370","24","645","12","112121","English","cloud","1","blue","0","polka-dotted","0","circle","1","square","1","solid","0","red","0",NA,NA,NA,NA,"232","332","111","True","7"
"371","24","733","13","212122","English","red","1","circle","0","blue","0","cloud","0","polka-dotted","0","striped","1",NA,NA,NA,NA,NA,NA,"131","132","221","True","6"
"372","24","932","14","212121","English","square","0","polka-dotted","0","solid","0","blue","0","green","1","circle","0",NA,NA,NA,NA,NA,NA,"311","311","233","False","6"
"373","24","1685","15","121212","English","cloud","0","green","0","striped","0","polka-dotted","0","blue","1","square","0",NA,NA,NA,NA,NA,NA,"331","123","123","False","6"
"374","24","1967","16","323232","English","cloud","1","green","0","solid","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"113","113","113","False","3"
"375","24","718","17","212122","English","cloud","0","red","1","blue","0","striped","0","polka-dotted","1","circle","0",NA,NA,NA,NA,NA,NA,"221","231","122","True","6"
"376","25","1967","3","323232","English","solid","1","green","1","cloud","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"113","113","113","False","3"
"377","25","811","4","112111","English","blue","0","striped","1","square","0","cloud","0","red","0","circle","1","green","0","polka-dotted","1",NA,NA,"221","123","332","True","8"
"378","25","2274","5","213232","English","solid","1","polka-dotted","1","blue","0","cloud","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"111","111","131","True","4"
"379","25","1713","6","212112","English","polka-dotted","1","blue","0","green","0","square","0","striped","0","cloud","1",NA,NA,NA,NA,NA,NA,"333","323","121","True","6"
"380","25","908","7","212121","English","green","0","polka-dotted","0","red","0","square","0","solid","1","circle","1",NA,NA,NA,NA,NA,NA,"233","233","312","False","6"
"381","25","365","8","122132","English","solid","1","square","0","polka-dotted","0","green","0","circle","1",NA,NA,NA,NA,NA,NA,NA,NA,"313","333","233","True","5"
"382","25","2157","9","121111","English","circle","1","striped","0","square","1","green","0","polka-dotted","1","blue","0","cloud","0","solid","1",NA,NA,"331","113","223","True","8"
"383","25","1982","10","323232","English","cloud","1","green","1","solid","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"113","113","113","False","3"
"384","25","1693","11","121212","English","polka-dotted","0","square","1","green","0","solid","0","blue","0","circle","1",NA,NA,NA,NA,NA,NA,"311","233","233","False","6"
"385","25","2368","12","113232","English","circle","1","cloud","1","blue","0","square","1","polka-dotted","0",NA,NA,NA,NA,NA,NA,NA,NA,"131","331","231","True","5"
"386","25","1741","13","212112","English","solid","1","green","0","red","1","cloud","0","circle","1","polka-dotted","0",NA,NA,NA,NA,NA,NA,"133","132","212","True","6"
"387","25","81","14","122111","English","red","0","cloud","0","square","0","circle","0","polka-dotted","1","solid","0","blue","1",NA,NA,NA,NA,"331","232","112","True","7"
"388","25","1240","15","112112","English","circle","0","blue","0","green","0","striped","1","solid","0","square","0","red","1",NA,NA,NA,NA,"222","321","313","True","7"
"389","25","2103","16","111112","English","green","1","red","0","blue","0","cloud","0","striped","1","circle","0","square","0","solid","0",NA,NA,"222","111","313","True","8"
"390","25","1989","17","323232","English","cloud","1","polka-dotted","1","red","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"132","132","132","False","3"
"391","26","1552","3","322121","English","circle","1","blue","0","cloud","0.7","solid","1","striped","0.65",NA,NA,NA,NA,NA,NA,NA,NA,"121","121","211","True","5"
"392","26","2000","4","323232","English","striped","1","circle","1","blue","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"221","221","221","False","3"
"393","26","1953","5","323232","English","green","1","striped","1","square","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"323","323","323","False","3"
"394","26","1683","6","121212","English","circle","1","striped","0.65","blue","1","square","0.5","solid","1","green","0.5",NA,NA,NA,NA,NA,NA,"211","323","323","False","6"
"395","26","51","7","122111","English","blue","0","striped","0","cloud","1","solid","1","green","1","circle","1","square","1",NA,NA,NA,NA,"211","121","323","True","7"
"396","26","2076","8","321111","English","striped","1","green","0","solid","1","square","1","polka-dotted","1","cloud","1","circle","1",NA,NA,NA,NA,"113","323","233","True","7"
"397","26","455","9","211111","English","cloud","1","striped","0","square","1","red","1","polka-dotted","1","green","1","blue","1","circle","1",NA,NA,"222","323","131","True","8"
"398","26","400","10","122132","English","red","0","striped","0","polka-dotted","1","green","1","square","0",NA,NA,NA,NA,NA,NA,NA,NA,"332","322","323","True","5"
"399","26","1055","11","113212","English","striped","0","circle","0","red","1","blue","1","solid","1","green","1",NA,NA,NA,NA,NA,NA,"211","222","223","True","6"
"400","26","2135","12","111112","English","blue","1","green","1","solid","1","square","1","cloud","1","striped","0","red","1","circle","0.95",NA,NA,"311","123","222","True","8"
"401","26","1470","13","123211","English","circle","1","square","1","green","1","red","0","cloud","1","polka-dotted","1",NA,NA,NA,NA,NA,NA,"233","132","332","True","6"
"402","26","858","14","112122","English","green","1","circle","1","solid","1","cloud","0","striped","1","polka-dotted","1","red","0",NA,NA,NA,NA,"112","123","232","True","7"
"403","26","1672","15","121212","English","green","1","circle","1","striped","0","cloud","0.75","red","0.75","polka-dotted","0.8",NA,NA,NA,NA,NA,NA,"223","132","132","False","6"
"404","26","1659","16","121212","English","solid","0.25","polka-dotted","1","cloud","0.15","blue","0.2","green","1","square","1",NA,NA,NA,NA,NA,NA,"333","111","111","False","6"
"405","26","1126","17","321212","English","square","0.25","striped","0.2","cloud","1","polka-dotted","1","green","0",NA,NA,NA,NA,NA,NA,NA,NA,"133","323","323","True","5"
"406","27","925","3","212121","English","striped","0.3","red","0.7","green","0.3","square","0.7","circle","0.3","polka-dotted","1",NA,NA,NA,NA,NA,NA,"332","332","223","False","6"
"407","27","1370","4","113211","English","solid","0.25","cloud","0.25","red","1","polka-dotted","0.25","striped","0.25","circle","0.25","square","0.25",NA,NA,NA,NA,"312","132","222","True","7"
"408","27","1979","5","323232","English","green","1","solid","1","square","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"313","313","313","False","3"
"409","27","2362","6","113232","English","red","1","circle","0.25","cloud","0.25","square","0.25","polka-dotted","1",NA,NA,NA,NA,NA,NA,NA,NA,"132","232","332","True","5"
"410","27","565","7","213212","English","circle","1","red","0.25","square","0.25","striped","1","green","0.75",NA,NA,NA,NA,NA,NA,NA,NA,"323","223","222","True","5"
"411","27","1951","8","323232","English","circle","1","green","1","polka-dotted","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"233","233","233","False","3"
"412","27","462","9","211111","English","green","0.25","solid","0.7","circle","0.25","square","0.25","cloud","0.25","polka-dotted","0.25","red","0.25","blue","0.25",NA,NA,"311","213","132","True","8"
"413","27","1710","10","212112","English","solid","0.25","striped","0.7","square","1","blue","0.25","green","0.7","cloud","0.25",NA,NA,NA,NA,NA,NA,"123","323","311","True","6"
"414","27","652","11","212211","English","green","0.25","polka-dotted","0.25","red","0.25","square","0.25","cloud","1","solid","1","blue","0.25",NA,NA,NA,NA,"112","133","311","True","7"
"415","27","1515","12","322112","English","blue","0.7","striped","0.7","circle","1","polka-dotted","0.3","green","0.3",NA,NA,NA,NA,NA,NA,NA,NA,"231","221","223","True","5"
"416","27","1682","13","121212","English","blue","0.7","polka-dotted","0.25","square","0.25","green","0.25","striped","0.7","cloud","1",NA,NA,NA,NA,NA,NA,"333","121","121","False","6"
"417","27","1102","14","321212","English","circle","1","red","0.25","blue","0.7","striped","0.7","solid","0.25",NA,NA,NA,NA,NA,NA,NA,NA,"212","221","221","True","5"
"418","27","1713","15","212112","English","blue","0.25","square","0.7","striped","0.7","cloud","0.25","polka-dotted","0.25","green","0.7",NA,NA,NA,NA,NA,NA,"333","323","121","True","6"
"419","27","2169","16","121111","English","blue","0.25","cloud","0.25","circle","0.25","solid","0.25","green","0.25","square","0.25","red","0.25","striped","1",NA,NA,"313","122","221","True","8"
"420","27","1683","17","121212","English","square","0.75","green","0.75","striped","1","blue","0.25","circle","0.25","solid","0.25",NA,NA,NA,NA,NA,NA,"211","323","323","False","6"
"421","28","1276","3","111111","English","circle","0.75","cloud","0.25","blue","0.4","striped","0.7","square","0.7","green","0.35","polka-dotted","0.25","red","0.4","solid","0.4","221","113","332","False","9"
"422","28","2030","4","322122","English","blue","0.7","cloud","0.45","red","0.5","circle","0.65","striped","0.7",NA,NA,NA,NA,NA,NA,NA,NA,"222","221","122","True","5"
"423","28","2044","5","322122","English","red","0.85","circle","0.7","polka-dotted","0.6","striped","0.35","cloud","0.35",NA,NA,NA,NA,NA,NA,NA,NA,"232","222","132","True","5"
"424","28","976","6","121112","English","red","0.3","cloud","0.35","green","0.25","polka-dotted","0.45","circle","0.2","blue","0.2","striped","0.15",NA,NA,NA,NA,"222","131","133","True","7"
"425","28","916","7","212121","English","blue","0.4","circle","0.4","solid","0.65","striped","0.7","cloud","0.65","green","0.65",NA,NA,NA,NA,NA,NA,"123","123","211","False","6"
"426","28","1977","8","323232","English","blue","1","polka-dotted","1","cloud","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"131","131","131","False","3"
"427","28","170","9","323212","English","solid","0.4","circle","1","red","1","striped","0.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"212","222","222","True","4"
"428","28","1890","10","123212","English","green","0.65","polka-dotted","0.7","solid","0.3","circle","1","blue","0.35",NA,NA,NA,NA,NA,NA,NA,NA,"211","233","233","True","5"
"429","28","1479","11","123211","English","solid","0.25","red","1","striped","0.6","circle","0.55","polka-dotted","0.35","square","0.35",NA,NA,NA,NA,NA,NA,"232","312","322","True","6"
"430","28","730","12","212122","English","striped","0.6","solid","0.25","cloud","0.35","square","0.7","blue","0.3","green","0.5",NA,NA,NA,NA,NA,NA,"321","323","111","True","6"
"431","28","1259","13","111111","English","square","0.25","circle","0.2","polka-dotted","0.3","green","0.2","cloud","0.2","blue","0.2","red","0.25","solid","0.2","striped","0.25","221","112","333","False","9"
"432","28","44","14","122112","English","solid","0.25","circle","0.35","cloud","0.4","green","0.35","blue","0.3","polka-dotted","0.45",NA,NA,NA,NA,NA,NA,"131","113","213","True","6"
"433","28","736","15","212122","English","circle","0.65","blue","0.35","striped","0.6","square","0.5","green","0.4","solid","0.4",NA,NA,NA,NA,NA,NA,"211","213","321","True","6"
"434","28","941","16","212121","English","cloud","0.6","blue","0.35","solid","0.5","polka-dotted","0.4","green","0.65","circle","0.65",NA,NA,NA,NA,NA,NA,"211","211","133","False","6"
"435","28","1909","17","111212","English","cloud","0.4","circle","0.65","red","0.65","green","0.4","square","0.6","striped","0.35","solid","0.3",NA,NA,NA,NA,"323","112","212","True","7"
"436","29","101","3","212111","English","circle","0.85","square","0.3","striped","0.3","polka-dotted","0.85","blue","0.85","green","0.3","cloud","0.3",NA,NA,NA,NA,"323","123","231","True","7"
"437","29","954","4","121112","English","green","0.8","cloud","0.8","striped","0.2","polka-dotted","0.8","red","0.2","circle","0.2","square","0.2",NA,NA,NA,NA,"133","322","222","True","7"
"438","29","504","5","112132","English","cloud","0","solid","0.2","blue","0.85","red","0.85","polka-dotted","0.85","green","0.85",NA,NA,NA,NA,NA,NA,"111","112","133","True","6"
"439","29","1974","6","323232","English","circle","0.2","red","0.2","striped","0.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"222","222","222","False","3"
"440","29","1040","7","212212","English","circle","0.7","solid","0.7","green","0.3","polka-dotted","0.3","blue","0.7","square","0.3",NA,NA,NA,NA,NA,NA,"233","331","313","True","6"
"441","29","1689","8","121212","English","polka-dotted","0.8","cloud","0.8","red","0","striped","0","green","0.8","square","0",NA,NA,NA,NA,NA,NA,"133","322","322","False","6"
"442","29","1554","9","322121","English","striped","0.85","polka-dotted","0","blue","0","cloud","0","red","0.85",NA,NA,NA,NA,NA,NA,NA,NA,"131","131","122","True","5"
"443","29","1088","10","113212","English","circle","0","polka-dotted","0.85","striped","0.85","red","0.85","blue","0.2","solid","0.85",NA,NA,NA,NA,NA,NA,"232","221","211","True","6"
"444","29","2165","11","121111","English","solid","0.8","polka-dotted","0.8","cloud","0.8","square","0.8","green","0.15","striped","0.8","blue","0.8","circle","0.8",NA,NA,"321","233","113","True","8"
"445","29","946","12","212121","English","blue","0","red","0.8","striped","0","polka-dotted","0.8","cloud","0.8","square","0",NA,NA,NA,NA,NA,NA,"321","321","132","False","6"
"446","29","1691","13","121212","English","circle","1","red","1","solid","0","polka-dotted","0.95","square","0","green","0",NA,NA,NA,NA,NA,NA,"232","313","313","False","6"
"447","29","1757","14","322132","English","red","0","circle","0","green","1","polka-dotted","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"232","232","233","True","4"
"448","29","82","15","122111","English","solid","0.2","red","0.2","blue","0.8","cloud","0.8","polka-dotted","0.8","circle","0.8","square","0.8",NA,NA,NA,NA,"211","112","332","True","7"
"449","29","409","16","321112","English","blue","0.85","green","0.15","cloud","0.85","circle","0.7","square","0.7","solid","0",NA,NA,NA,NA,NA,NA,"111","213","313","True","6"
"450","29","1985","17","323232","English","blue","1","cloud","0","solid","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"111","111","111","False","3"
"451","30","567","3","213212","English","polka-dotted","1","red","0.1","square","0","green","1","solid","0",NA,NA,NA,NA,NA,NA,NA,NA,"332","312","313","True","5"
"452","30","1477","4","123211","English","green","0","polka-dotted","1","striped","1","solid","1","square","1","cloud","0",NA,NA,NA,NA,NA,NA,"313","123","133","True","6"
"453","30","910","5","212121","English","blue","1","polka-dotted","1","solid","0","square","0","circle","1","red","0",NA,NA,NA,NA,NA,NA,"312","312","231","False","6"
"454","30","810","6","112111","English","red","1","circle","1","cloud","1","square","1","solid","1","polka-dotted","1","blue","0","striped","1",NA,NA,"311","131","222","True","8"
"455","30","1258","7","111111","English","polka-dotted","1","circle","1","square","1","red","1","striped","1","solid","1","cloud","1","green","1","blue","1","331","222","113","False","9"
"456","30","1334","8","122122","English","striped","1","green","1","polka-dotted","0","circle","0","blue","0","square","1",NA,NA,NA,NA,NA,NA,"331","233","221","True","6"
"457","30","1602","9","211112","English","solid","0","striped","1","cloud","1","green","1","circle","1","blue","0","square","1",NA,NA,NA,NA,"221","111","313","True","7"
"458","30","199","10","323212","English","red","0","solid","0","green","1","circle","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"213","212","212","True","4"
"459","30","302","11","213211","English","blue","1","striped","0","circle","0","red","1","square","1","green","1",NA,NA,NA,NA,NA,NA,"221","222","323","True","6"
"460","30","1991","12","323232","English","red","0","polka-dotted","0","circle","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"232","232","232","False","3"
"461","30","1655","13","121212","English","polka-dotted","0","circle","1","blue","0","red","1","cloud","0","striped","1",NA,NA,NA,NA,NA,NA,"222","131","131","False","6"
"462","30","1473","14","123211","English","striped","1","blue","0","polka-dotted","1","solid","0","red","1","circle","0",NA,NA,NA,NA,NA,NA,"222","231","211","True","6"
"463","30","339","15","213211","English","striped","1","red","0","polka-dotted","1","solid","1","square","0","green","1",NA,NA,NA,NA,NA,NA,"312","332","323","True","6"
"464","30","1278","16","111111","English","red","1","striped","1","solid","1","green","1","cloud","1","circle","1","polka-dotted","1","square","1","blue","1","112","233","321","False","9"
"465","30","2171","17","121111","English","green","0","blue","1","cloud","1","striped","1","square","1","circle","1","solid","1","polka-dotted","1",NA,NA,"311","123","233","True","8"
"466","31","396","3","122132","english","cloud","0.75","solid","1","circle","0.4","blue","0.3","red","0.3",NA,NA,NA,NA,NA,NA,NA,NA,"212","211","111","True","5"
"467","31","1993","4","323232","english","cloud","0.2","red","0.35","striped","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"122","122","122","False","3"
"468","31","941","5","212121","english","polka-dotted","0.25","green","0.2","solid","0.85","blue","0.6","cloud","0.05","circle","0.45",NA,NA,NA,NA,NA,NA,"211","211","133","False","6"
"469","31","1622","6","211112","english","green","0.1","cloud","0","polka-dotted","0.25","square","0.25","blue","0.25","solid","0.85","red","0.3",NA,NA,NA,NA,"331","312","113","True","7"
"470","31","251","7","212222","english","green","0.55","cloud","0.25","square","0.55","polka-dotted","0.3","solid","0.95","red","0.2",NA,NA,NA,NA,NA,NA,"333","132","313","True","6"
"471","31","2157","8","121111","english","square","0.2","green","0.6","blue","0.45","circle","0.35","cloud","0.6","solid","0.85","polka-dotted","0.25","striped","0.35",NA,NA,"331","113","223","True","8"
"472","31","1985","9","323232","english","solid","1","cloud","1","blue","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"111","111","111","False","3"
"473","31","1723","10","212112","english","square","0.65","green","0.45","striped","0.65","solid","1","cloud","0.4","blue","0.25",NA,NA,NA,NA,NA,NA,"311","321","123","True","6"
"474","31","1300","11","111111","english","square","0.2","striped","0.5","solid","0.9","circle","0.4","polka-dotted","0.35","green","0.55","red","0.45","blue","0.45","cloud","0.15","132","313","221","False","9"
"475","31","1218","12","112112","english","cloud","0.9","blue","0.4","polka-dotted","0.4","red","0.4","striped","0.7","circle","0.3","green","0.3",NA,NA,NA,NA,"222","121","133","True","7"
"476","31","2340","13","123232","english","striped","0.2","red","0.95","circle","1","solid","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"222","212","212","True","4"
"477","31","1659","14","121212","english","cloud","0.6","square","0.25","solid","0.85","blue","0.65","green","0.35","polka-dotted","0.35",NA,NA,NA,NA,NA,NA,"333","111","111","False","6"
"478","31","1727","15","212112","english","green","0.2","polka-dotted","0.65","striped","0.35","square","0.65","blue","0.8","circle","0.6",NA,NA,NA,NA,NA,NA,"231","331","323","True","6"
"479","31","2224","16","323211","english","striped","1","green","0.2","red","0.2","cloud","1","blue","0.2",NA,NA,NA,NA,NA,NA,NA,NA,"122","123","121","True","5"
"480","31","1222","17","112112","english","cloud","0.2","red","0.55","square","0.25","circle","0.25","striped","0.55","blue","0.35","polka-dotted","0.3",NA,NA,NA,NA,"132","322","221","True","7"
"481","32","311","3","213211","English","square","0.3","green","1","striped","1","blue","0.5","circle","0.85","red","0.5",NA,NA,NA,NA,NA,NA,"221","223","322","True","6"
"482","32","1252","4","111111","English","green","0","circle","1","blue","1","red","0","striped","0","cloud","0","square","0","polka-dotted","0","solid","1","322","133","211","False","9"
"483","32","2363","5","113232","English","solid","0","square","1","polka-dotted","1","striped","0","blue","1",NA,NA,NA,NA,NA,NA,NA,NA,"311","331","321","True","5"
"484","32","1527","6","322112","English","circle","1","green","0","striped","1","red","1","solid","0",NA,NA,NA,NA,NA,NA,NA,NA,"213","212","222","True","5"
"485","32","1952","7","323232","English","blue","1","cloud","1","polka-dotted","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"131","131","131","False","3"
"486","32","1962","8","323232","English","square","1","green","1","striped","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"323","323","323","False","3"
"487","32","1757","9","322132","English","circle","1","polka-dotted","1","red","0","green","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"232","232","233","True","4"
"488","32","1655","10","121212","English","striped","1","red","1","circle","1","polka-dotted","0","blue","0","cloud","0",NA,NA,NA,NA,NA,NA,"222","131","131","False","6"
"489","32","325","11","213211","English","blue","1","green","0","solid","1","striped","0","polka-dotted","0","square","1",NA,NA,NA,NA,NA,NA,"311","331","323","True","6"
"490","32","1357","12","113211","English","solid","1","circle","1","cloud","0","red","1","blue","0","green","0","square","0",NA,NA,NA,NA,"113","212","311","True","7"
"491","32","2272","13","213232","English","square","1","polka-dotted","1","green","0","red","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"333","333","332","True","4"
"492","32","1659","14","121212","English","solid","0","green","1","polka-dotted","1","blue","0","square","1","cloud","0",NA,NA,NA,NA,NA,NA,"333","111","111","False","6"
"493","32","714","15","212122","English","blue","1","red","0","circle","0","polka-dotted","1","square","1","solid","0",NA,NA,NA,NA,NA,NA,"312","212","331","True","6"
"494","32","328","16","213211","English","solid","1","red","0","square","1","cloud","0","green","1","circle","0",NA,NA,NA,NA,NA,NA,"112","212","313","True","6"
"495","32","1762","17","322132","English","solid","0","green","1","square","1","polka-dotted","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"313","313","333","True","4"
"496","33","1989","3","323232","english","polka-dotted","1","cloud","1","red","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"132","132","132","False","3"
"497","33","1562","4","322121","english","square","1","blue","1","red","0","solid","1","circle","0",NA,NA,NA,NA,NA,NA,NA,NA,"311","311","212","True","5"
"498","33","1600","5","322121","english","solid","1","square","1","red","0","blue","1","striped","0",NA,NA,NA,NA,NA,NA,NA,NA,"311","311","322","True","5"
"499","33","865","6","112122","english","cloud","1","blue","0","green","0","striped","0","circle","0","red","1","solid","1",NA,NA,NA,NA,"213","221","112","True","7"
"500","33","124","7","212111","english","blue","1","red","0","polka-dotted","1","square","0","striped","0","cloud","1","solid","0",NA,NA,NA,NA,"131","121","312","True","7"
"501","33","191","8","323212","english","striped","1","blue","1","solid","1","circle","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"211","221","221","True","4"
"502","33","1436","9","322111","english","red","1","blue","0","green","0","circle","1","solid","0","polka-dotted","0",NA,NA,NA,NA,NA,NA,"231","233","212","True","6"
"503","33","2265","10","213232","english","polka-dotted","1","circle","0","blue","1","cloud","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"131","131","231","True","4"
"504","33","1995","11","323232","english","polka-dotted","1","blue","1","cloud","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"131","131","131","False","3"
"505","33","922","12","212121","english","circle","1","square","0","blue","0","striped","1","red","1","polka-dotted","0",NA,NA,NA,NA,NA,NA,"222","222","331","False","6"
"506","33","593","13","213212","english","solid","1","red","1","square","1","blue","0","striped","1",NA,NA,NA,NA,NA,NA,NA,NA,"322","312","311","True","5"
"507","33","438","14","321112","english","polka-dotted","0","green","0","cloud","1","solid","1","striped","0","blue","1",NA,NA,NA,NA,NA,NA,"123","111","131","True","6"
"508","33","1437","15","322111","english","red","1","blue","0","green","0","polka-dotted","1","circle","1","solid","0",NA,NA,NA,NA,NA,NA,"233","232","211","True","6"
"509","33","1682","16","121212","english","cloud","1","striped","1","green","0","blue","1","square","0","polka-dotted","0",NA,NA,NA,NA,NA,NA,"333","121","121","False","6"
